w_grid_size,h_grid_size,s_learn_rate,f_learn_rate,initial_neighbour_size,neigbour_range_decay,random_seed,iterations,distribution_type,metric_type,graph_type,score,
5,5,0.200000,0.000000,25.000000,2.000000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.671734,
5,5,0.200000,0.000000,25.000000,2.000000,0,5000,normal_distribution,Euclidian,Grid6,0.655936,
5,5,0.200000,0.000000,25.000000,2.000000,0,5000,exponential_distribution,Euclidian,Grid6,0.680483,
5,5,0.200000,0.000000,25.000000,2.000000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.622773,
5,5,0.200000,0.000000,25.000000,2.000000,0,10000,normal_distribution,Euclidian,Grid6,0.643171,
5,5,0.200000,0.000000,25.000000,2.000000,0,10000,exponential_distribution,Euclidian,Grid6,0.617553,
5,5,0.200000,0.000000,25.000000,3.000000,0,100,uniform_real_distribution,Euclidian,Grid6,0.926683,
5,5,0.200000,0.000000,25.000000,3.000000,0,100,normal_distribution,Euclidian,Grid6,0.884405,
5,5,0.200000,0.000000,25.000000,3.000000,0,100,exponential_distribution,Euclidian,Grid6,0.883355,
5,5,0.200000,0.000000,25.000000,3.000000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.699650,
5,5,0.200000,0.000000,25.000000,3.000000,0,1000,normal_distribution,Euclidian,Grid6,0.725043,
5,5,0.200000,0.000000,25.000000,3.000000,0,1000,exponential_distribution,Euclidian,Grid6,0.732606,
5,5,0.200000,0.000000,25.000000,3.000000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.666633,
5,5,0.200000,0.000000,25.000000,3.000000,0,5000,normal_distribution,Euclidian,Grid6,0.642311,
5,5,0.200000,0.000000,25.000000,3.000000,0,5000,exponential_distribution,Euclidian,Grid6,0.662248,
5,5,0.200000,0.000000,25.000000,3.000000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.619690,
5,5,0.200000,0.200000,5.000000,1.500000,0,100,uniform_real_distribution,Euclidian,Grid6,0.656496,
5,5,0.200000,0.000000,25.000000,3.000000,0,10000,normal_distribution,Euclidian,Grid6,0.624809,
5,5,0.200000,0.000000,25.000000,3.000000,0,10000,exponential_distribution,Euclidian,Grid6,0.621762,
5,5,0.200000,0.200000,5.000000,1.500000,0,100,normal_distribution,Euclidian,Grid6,0.678184,
5,5,0.200000,0.200000,5.000000,1.500000,0,100,exponential_distribution,Euclidian,Grid6,0.725319,
5,5,0.200000,0.200000,5.000000,1.500000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.554620,
5,5,0.200000,0.200000,5.000000,1.500000,0,1000,normal_distribution,Euclidian,Grid6,0.493154,
5,5,0.200000,0.200000,5.000000,1.500000,0,1000,exponential_distribution,Euclidian,Grid6,0.536601,
5,5,0.200000,0.200000,5.000000,1.500000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.471517,
5,5,0.200000,0.200000,5.000000,1.500000,0,5000,normal_distribution,Euclidian,Grid6,0.450779,
5,5,0.200000,0.200000,5.000000,1.500000,0,5000,exponential_distribution,Euclidian,Grid6,0.461949,
5,5,0.200000,0.200000,5.000000,1.500000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.409777,
5,5,0.200000,0.200000,5.000000,1.500000,0,10000,normal_distribution,Euclidian,Grid6,0.389688,
5,5,0.200000,0.200000,5.000000,2.000000,0,100,uniform_real_distribution,Euclidian,Grid6,0.668549,
5,5,0.200000,0.200000,5.000000,1.500000,0,10000,exponential_distribution,Euclidian,Grid6,0.424127,
5,5,0.200000,0.200000,5.000000,2.000000,0,100,normal_distribution,Euclidian,Grid6,0.652856,
5,5,0.200000,0.200000,5.000000,2.000000,0,100,exponential_distribution,Euclidian,Grid6,0.641480,
5,5,0.200000,0.200000,5.000000,2.000000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.487666,
5,5,0.200000,0.200000,5.000000,2.000000,0,1000,normal_distribution,Euclidian,Grid6,0.554347,
5,5,0.200000,0.200000,5.000000,2.000000,0,1000,exponential_distribution,Euclidian,Grid6,0.580457,
5,5,0.200000,0.200000,5.000000,2.000000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.467698,
5,5,0.200000,0.200000,5.000000,2.000000,0,5000,normal_distribution,Euclidian,Grid6,0.439458,
5,5,0.200000,0.200000,5.000000,2.000000,0,5000,exponential_distribution,Euclidian,Grid6,0.423243,
5,5,0.200000,0.200000,5.000000,2.000000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.424419,
5,5,0.200000,0.200000,5.000000,2.000000,0,10000,normal_distribution,Euclidian,Grid6,0.408452,
5,5,0.200000,0.200000,5.000000,3.000000,0,100,uniform_real_distribution,Euclidian,Grid6,0.698515,
5,5,0.200000,0.200000,5.000000,2.000000,0,10000,exponential_distribution,Euclidian,Grid6,0.425717,
5,5,0.200000,0.200000,5.000000,3.000000,0,100,normal_distribution,Euclidian,Grid6,0.693981,
5,5,0.200000,0.200000,5.000000,3.000000,0,100,exponential_distribution,Euclidian,Grid6,0.700629,
5,5,0.200000,0.200000,5.000000,3.000000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.506251,
5,5,0.200000,0.200000,5.000000,3.000000,0,1000,normal_distribution,Euclidian,Grid6,0.535035,
5,5,0.200000,0.200000,5.000000,3.000000,0,1000,exponential_distribution,Euclidian,Grid6,0.441324,
5,5,0.200000,0.200000,5.000000,3.000000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.436770,
5,5,0.200000,0.200000,5.000000,3.000000,0,5000,normal_distribution,Euclidian,Grid6,0.421723,
5,5,0.200000,0.200000,5.000000,3.000000,0,5000,exponential_distribution,Euclidian,Grid6,0.436317,
5,5,0.200000,0.200000,5.000000,3.000000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.410205,
5,5,0.200000,0.200000,5.000000,3.000000,0,10000,normal_distribution,Euclidian,Grid6,0.402284,
5,5,0.200000,0.200000,10.000000,1.500000,0,100,uniform_real_distribution,Euclidian,Grid6,0.765209,
5,5,0.200000,0.200000,5.000000,3.000000,0,10000,exponential_distribution,Euclidian,Grid6,0.415898,
5,5,0.200000,0.200000,10.000000,1.500000,0,100,normal_distribution,Euclidian,Grid6,0.768898,
5,5,0.200000,0.200000,10.000000,1.500000,0,100,exponential_distribution,Euclidian,Grid6,0.647038,
5,5,0.200000,0.200000,10.000000,1.500000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.560386,
5,5,0.200000,0.200000,10.000000,1.500000,0,1000,normal_distribution,Euclidian,Grid6,0.623967,
5,5,0.200000,0.200000,10.000000,1.500000,0,1000,exponential_distribution,Euclidian,Grid6,0.554509,
5,5,0.200000,0.200000,10.000000,1.500000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.479850,
5,5,0.200000,0.200000,10.000000,1.500000,0,5000,normal_distribution,Euclidian,Grid6,0.423845,
5,5,0.200000,0.200000,10.000000,1.500000,0,5000,exponential_distribution,Euclidian,Grid6,0.462666,
5,5,0.200000,0.200000,10.000000,1.500000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.440211,
5,5,0.200000,0.200000,10.000000,1.500000,0,10000,normal_distribution,Euclidian,Grid6,0.436471,
5,5,0.200000,0.200000,10.000000,2.000000,0,100,uniform_real_distribution,Euclidian,Grid6,0.676490,
5,5,0.200000,0.200000,10.000000,1.500000,0,10000,exponential_distribution,Euclidian,Grid6,0.464374,
5,5,0.200000,0.200000,10.000000,2.000000,0,100,normal_distribution,Euclidian,Grid6,0.721216,
5,5,0.200000,0.200000,10.000000,2.000000,0,100,exponential_distribution,Euclidian,Grid6,0.664395,
5,5,0.200000,0.200000,10.000000,2.000000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.495571,
5,5,0.200000,0.200000,10.000000,2.000000,0,1000,normal_distribution,Euclidian,Grid6,0.459719,
5,5,0.200000,0.200000,10.000000,2.000000,0,1000,exponential_distribution,Euclidian,Grid6,0.532247,
